ROOM_ELEVATORPLAN        = Ascensor planificador de destino
ROOM_NEWSPLANNER         = Planificador de Noticias
ROOM_FINANCES            = Financias
ROOM_SAFE                = Seguro
ROOM_PROGRAMMEPLANNER    = Programme planner
ROOM_STATIONMAP          = Estación map
ROOM_ROOMMAP             = Habitacion mapa
ROOM_MOVIEAGENCY         = Agencia de Peliculas
ROOM_MOVIEAGENCY_OWNER   = J. Steward Jabble
ROOM_ADAGENCY            = Agencia de publicidad
ROOM_ADAGENCY_OWNER      = owner: P.P. Purningham
ROOM_BUREAU_OF           = Oficina de %PLAYERNAME%
ROOM_BOSS_OF             = Jefe de %CHANNELNAME%
ROOM_NEWSSTUDIO_OF       = Estudio de noticias de %CHANNELNAME%
ROOM_ARCHIVE_OF          = Archivo de %CHANNELNAME%
ROOM_ROOMBOARD           = Panel de anuncios
ROOM_CREDITS             = Creditos / About
ROOM_BETTY               = Betty
ROOM_SUPERMARKET         = Supermercado
ROOM_SUPERMARKET_SUB     = Things for everyone
ROOM_ROOMAGENCY          = Room Agency
ROOM_ROOMAGENCY_OWNER    = H.G. Higwig
ROOM_PEACEBROTHERS       = Peace-Brothers
ROOM_PEACEBROTHERS_SUB   = International Peace Agency
ROOM_GUNSAGENCY          = Guns Agency
#ROOM_FREE_ROOM           = 
ROOM_FREE_STUDIO         = Free studio
ROOM_STUDIO_OF           = Studio of %CHANNELNAME%
ROOM_SCRIPT_OFFICE       = Script office
ROOM_SCRIPT_OFFICE_OWNER = John S. Jibble
ROOM_NOTOBACCO           = Sociedad anti tabaco
ROOM_NOTOBACCO_OWNER     = American Society Against Tobacco
ROOM_TOBACCOLOBBY        = Tobacco lobby
ROOM_TOBACCOLOBBY_OWNER  = Union of American Tobacco Producers
ROOM_VRDUBAN             = Consulado de VR Duban
ROOM_FRDUBAN             = Embajada de FR Duban
ROOM_PORTER              = Portero
ROOM_LAUNDRY             = Laundry
ROOM_BIOCONTROL          = Bio-Control
ROOM_PSYCHIATRIST        = Pychiatrist "Harry Dippl"
ROOM_COMPUTERSHOP        = Computershop "SpySoft"
ROOM_AUCTION             = Auction
ROOM_AUCTION_SUB         = Auction of movies and series
ROOM_SIZE                = Tamaño de habitación: %SIZE%

LOCKED  = Cerrada
BLOCKED = Bloqueado

ACCESS_TO_THIS_ROOM_IS_ONLY_POSSIBLE_WITH_THE_RIGHT_KEY = El acceso a esta sala sólo es posible con la tecla derecha.
ACCESS_TO_THIS_ROOM_IS_CURRENTLY_NOT_POSSIBLE           = El acceso a esta sala en este momento no es posible.

ROOM_IS_BLOCKED                           = Habitación Bloqueada!
ROOM_IS_OCCUPIED                          = Habitación ocupada!
#SHOOTING_IN_PROGRESS                      = 
#SHOOTING_FINISHED                         = 
#PREPRODUCTION_IN_PROGRESS                 = 
#PREPRODUCTION_FINISHED                    = 
#BLOCKED_UNTIL_TIME                        = 
#BLOCKED_NO_OFFICE_HOUR                    = 
ROOM_THERE_IS_ALREADY_SOMEONE_IN_THE_ROOM = Ya hay alguien dentro.


#ROOM_OVERVIEW               = 
#CANCEL_OR_RENT_ROOMS        = 
#PREVIOUS_TENANT             = 
#ORIGINAL_TENANT             = 
#RERENT                      = 
#IN_XTIME_AFTER_CANCELLATION = 
#IN_XTIME                    = 
#CLICK_AGAIN_TO_RENT         = 
#CLICK_AGAIN_TO_CANCEL_RENT  = 
#CONFIRM                     = 
#RENTAL_NOT_POSSIBLE         = 
#CANCELLATION_NOT_POSSIBLE   = 
#SOMETHING_BLOCKS_ACTION     = 
#REMOVE_SCRIPT_THERE_FIRST   = 

#ROOMAGENCY_SIZE_TEXT1                              = 
#ROOMAGENCY_SIZE_TEXT2                              = 
#ROOMAGENCY_ROOM_X_IN_RANGE_TEXT1                   = 
#ROOMAGENCY_ROOM_SUPERMARKET_IN_RANGE_TEXT1         = 
#ROOMAGENCY_ROOM_SCRIPTAGENCY_IN_RANGE_TEXT1        = 
#ROOMAGENCY_ROOM_OFFICE_IN_RANGE_TEXT1              = 
#ROOMAGENCY_AVAILABLE_FOR_RENT_OF_X_PER_DAY         = 
#ROOMAGENCY_SIGNING_WILL_COST_A_SINGLE_PAYMENT_OF_X = 

#ROOMAGENCY_ROOM_CURRENTLY_NOT_AVAILABLE_BUT_THIS_MIGHT_CHANGE1 = 
#ROOMAGENCY_ROOM_CURRENTLY_NOT_AVAILABLE_BUT_THIS_MIGHT_CHANGE2 = 


#DIALOGUE_SUPERMARKET_TITLE1 = 
#DIALOGUE_SUPERMARKET_TITLE2 = 
#DIALOGUE_SUPERMARKET_TITLE3 = 
#DIALOGUE_SUPERMARKET_TEXT1  = 
#DIALOGUE_SUPERMARKET_TEXT2  = 
#DIALOGUE_SUPERMARKET_TEXT3  = 
#DIALOGUE_SUPERMARKET_TEXT4  = 

#DIALOGUE_SUPERMARKET_PLAN_A_PRODUCTION = 
#DIALOGUE_SUPERMARKET_BUY_A_PRESENT     = 
#DIALOGUE_SUPERMARKET_GOODBYE1          = 
#DIALOGUE_SUPERMARKET_GOODBYE2          = 
#DIALOGUE_SUPERMARKET_GOODBYE3          = 


#ARCHIVED_MESSAGES                   = 
#READ_MESSAGES_YOU_MIGHT_HAVE_MISSED = 
#MESSAGECATEGORY_CATEGORIES          = 
#MESSAGECATEGORY_ALL                 = 
#MESSAGECATEGORY_MONEY               = 
#MESSAGECATEGORY_ACHIEVEMENTS        = 
#MESSAGECATEGORY_AWARDS              = 
#MESSAGECATEGORY_MISC                = 
#MESSAGES_SHOW_HEADING               = 
#MESSAGES_SHOW_ALL                   = 
#MESSAGES_SHOW_READ                  = 
#MESSAGES_SHOW_UNREAD                = 

BUY_AND_SELL        = Compra y venta
AND_STATISTICS      = y estadísticas
FOR_PRIVATE_AFFAIRS = para la mayoría de sus asuntos privados


#INGAME_HELP_TEXT_SCREEN_EMPTYROOM  = 
#INGAME_HELP_TITLE_SCREEN_EMPTYROOM = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_SAFE  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_SAFE = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_ARCHIVEDMESSAGES  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_ARCHIVEDMESSAGES = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_PROGRAMMEPLANNER  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_PROGRAMMEPLANNER = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_STATIONMAP  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_STATIONMAP = 

#INGAME_HELP_TEXT_SCREEN_NEWSSTUDIO  = 
#INGAME_HELP_TITLE_SCREEN_NEWSSTUDIO = 

#INGAME_HELP_TEXT_SCREEN_NEWSSTUDIO_NEWSPLANNER  = 
#INGAME_HELP_TITLE_SCREEN_NEWSSTUDIO_NEWSPLANNER = 

#INGAME_HELP_TEXT_SCREEN_ARCHIVE  = 
#INGAME_HELP_TITLE_SCREEN_ARCHIVE = 

#INGAME_HELP_TEXT_SCREEN_ROOMAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_ROOMAGENCY = 

#INGAME_HELP_TEXT_SCREEN_ROOMBOARD  = 
