BETTY_FEELINGS                     = Ce que Betty pense de toi
THERE_IS_NO_LOVE_IN_THE_AIR_YET    = C'est loin d'être le grand amour... pour le moment !
BETTY_KNOWS_WHO_YOU_ARE            = Betty sait qui tu es
BETTY_SEEMS_TO_LIKE_YOU            = Betty a l'air de t'apprécier
BETTY_SEEMS_TO_LIKE_YOU_A_BIT_MORE = Betty a l'air de t'apprécier un peu plus
BETTY_LOVES_YOU                    = Betty t'aime
BETTY_REALLY_LOVES_YOU             = Betty est folle de toi

DIALOGUE_BETTY_WELCOME_TEXT         = Bonjour,\n\nJe peux faire quelque chose pour toi ?
DIALOGUE_BETTY_WELCOME_LEVEL0_TEXT1 = Coucou\n\nQu'est-ce qui t'amène au dernier étage ?
DIALOGUE_BETTY_WELCOME_LEVEL0_TEXT2 = Oui ?\n\nTu est probablement là pour avoir les dernières nouvelles à propos du Sammy.
DIALOGUE_BETTY_WELCOME_LEVEL1_TEXT1 = Bonjour %PLAYERNAME%,\n\nQu'est-ce qui t'amène à moi aujourd'hui ?
DIALOGUE_BETTY_WELCOME_LEVEL1_TEXT2 = Hmm ?\n\nTu veux sûrement quelques infos sur le Sammy.
DIALOGUE_BETTY_WELCOME_LEVEL1_TEXT3 = Salut %PLAYERNAME%,\n\nÇa me fait plaisir de te revoir. Assieds-toi donc... et pourquoi es-tu là ?
DIALOGUE_BETTY_WELCOME_LEVEL1_TEXT4 = %PLAYERNAME% !?\n\nEspèce de fripouille, tu ne viens me voir que pour le Sammy, c'est ça ?
DIALOGUE_BETTY_WELCOME_LEVEL1_TEXT5 = Salut %PLAYERNAME%,\n\nJ'ai bien apprécié notre dernière entrevue. J'espère qu'on se reverra de temps en temps.
DIALOGUE_BETTY_WELCOME_LEVEL1_TEXT6 = Salut, toi !\n\nJe vais nous préparer un peu de thé, j'espère que tu as un peu de temps pour discuter.

#DIALOGUE_BETTY_NO_AWARD_LEVEL0_TEXT1                              = 
#DIALOGUE_BETTY_NO_AWARD_LEVEL1_TEXT1                              = 
#DIALOGUE_BETTY_AWARDINFORMATION_NO_FAVORITE_LEVEL0_TEXT1          = 
#DIALOGUE_BETTY_AWARDINFORMATION_YOU_ARE_FAVORITE_LEVEL0_TEXT1     = 
